"price","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","bathrooms","accomodate","bedrooms","beds","Shared room","Hotel room","France","Argentine","USA","Australie","Espagne","Bresil","Thaïlande","Japon"
173,5,5,5,5,5,5,1,2,1,1,0,0,0,0,1,0,0,0,0,0
150.08,4.92,4.96,4.96,5,4.96,4.88,1,2,1,1,0,0,1,0,0,0,0,0,0,0
18.91,5,5,5,5,5,5,1,2,1,1,0,0,0,1,0,0,0,0,0,0
197.274,4.9,5,5,4.8,5,4.8,1,2,1,1,0,0,0,0,0,0,0,0,0,0
140.91,5,5,4.75,5,5,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0
85,5,5,4,5,5,5,1,2,0,1,0,0,0,0,1,0,0,0,0,0
297.924,4.88,5,5,4.75,5,4.75,1,6,3,3,0,0,0,0,0,0,0,0,0,0
216.062,4.8,5,4.8,4.7,5,4.9,1,6,3,3,0,0,0,0,0,0,0,0,0,0
201.3,4.67,5,5,5,5,4.67,1,6,3,3,0,0,0,0,0,0,0,0,0,0
325,5,5,4.92,5,5,4.83,2,5,2,2,0,0,0,0,1,0,0,0,0,0
78.4,5,5,5,5,5,5,0,2,0,1,0,0,1,0,0,0,0,0,0,0
49.298,4.91,5,5,5,5,5,1.5,6,2,5,0,0,0,1,0,0,0,0,0,0
40.828,5,5,5,5,5,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0
298,5,5,5,4.88,4.75,5,3,9,4,5,0,0,0,0,1,0,0,0,0,0
37.82,5,5,5,5,5,5,1,2,1,0,0,0,0,1,0,0,0,0,0,0
24.583,5,5,5,5,5,5,1,2,1,0,0,0,0,1,0,0,0,0,0,0
108.702,5,5,5,5,5,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0
202.72,5,5,5,5,5,5,1,2,1,0,0,0,1,0,0,0,0,0,0,0
126.56,5,5,4.75,5,5,5,1,2,1,0,0,0,1,0,0,0,0,0,0,0
134.94,5,4.95,4.95,4.9,5,5,2,9,2,4,0,0,0,0,0,1,0,0,0,0
201.3,5,5,5,5,5,5,2,3,2,2,0,0,0,0,0,0,0,0,0,0
35.116,5,4.95,5,5,4.95,5,1,3,1,2,0,0,0,1,0,0,0,0,0,0
215.04,5,5,5,5,3,5,1,3,1,2,0,0,1,0,0,0,0,0,0,0
26.474,5,5,5,5,5,5,1,3,1,2,0,0,0,1,0,0,0,0,0,0
39.371,5,5,5,5,5,4.75,1,3,1,2,0,0,0,1,0,0,0,0,0,0
